语例ID,主语(目标域),谓语(源域),谓语中心词,主语中心词,源域,源域名称,目标域,目标域名称,映射方向,映射方向标签,CFMC源域频次,C_entrench,BCC词频,L_entrench,余弦相似度,Sem_dist,修饰成分,Con_cue,D_reg客观基线,D_trans客观基线,CA客观基线,CA基线等级
xb_00001,总路线,建设社会主义的锐利武器,武器,总路线,WR,战争,SC,社会,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00002,化验员,侦察兵,侦察兵,化验员,WR,战争,SC,社会,1,具体→具体,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00003,超国家的欧洲组织,垄断资本手中的新武器,武器,组织,WR,战争,SC,社会,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00004,美国政府,威胁世界和平的罪魁祸首,罪魁祸首,政府,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00005,文艺,教育人民、揭露和打击敌人的武器,教育,文艺,WR,战争,AB,抽象,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00006,人,万物之灵,万物之灵,人,AB,抽象,LF,光线,4,抽象→具体,515,0.8817,,,,,,,0.3527,,0.194,1
xb_00007,公社,我的家,家,公社,OB,物体,SC,社会,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00008,党,救命恩人,恩人,党,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00009,身体,建设祖国的财富,财富,身体,EC,经济,BD,建筑,2,具体→抽象,129,0.6871,,,,,,,0.2748,,0.1512,1
xb_00010,共产党,劳动人民的太阳,太阳,共产党,NT,自然,SC,社会,2,具体→抽象,184,0.7369,,,,,,,0.2948,,0.1621,1
xb_00011,民歌,劳动人民集体智慧的结晶,结晶,民歌,OB,物体,AB,抽象,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00012,美帝国主义,世界反动的支柱,支柱,帝国主义,OB,物体,SC,社会,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00013,技术,劳动人民的结晶,结晶,技术,OB,物体,TH,思维,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00014,人民,建设共产主义的决定性力量,力量,人民,FC,力量,SC,社会,2,具体→抽象,84,0.6271,,,,,,,0.2508,,0.138,1
xb_00015,人民,革命力量的源泉,源泉,人民,NT,自然,SC,社会,2,具体→抽象,184,0.7369,,,,,,,0.2948,,0.1621,1
xb_00016,农业,发展国民经济的基础,基础,农业,OB,物体,SC,社会,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00017,水土保持,发展山区生产的生命线,生命线,水土,LV,生命,SC,社会,2,具体→抽象,263,0.7871,,,,,,,0.3148,,0.1732,1
xb_00018,心脏,循环系统的总枢纽,枢纽,心脏,SP,空间,LF,光线,4,抽象→具体,203,0.7507,,,,,,,0.3003,,0.1652,1
xb_00019,鱼群探测器,侦察鱼群的现代化利器,利器,探测器,WR,战争,AB,抽象,1,具体→具体,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00020,人的精神面貌,意气风发,风发,面貌,ST,结构,ST,结构,3,抽象→抽象,990,0.9738,,,,,,,0.3895,,0.2142,2
xb_00021,凯恩斯主义,垄断资本在世界资本主义体系总危机和衰落时期的基本经济学,经济学,凯恩斯主义,OB,物体,TH,思维,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00022,叛徒,革命事业最危险的敌人,敌人,叛徒,HM,人体,AB,抽象,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00023,和平的敌人,侵略势力,势力,敌人,HM,人体,MR,机器,4,抽象→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00024,修正主义,麻醉人民的鸦片,鸦片,修正主义,HM,人体,TH,思维,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00025,美国政府,垄断资本集团的工具,工具,政府,OB,物体,SC,社会,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00026,雷锋同志,劳动人民的好儿子,儿子,同志,HM,人体,SC,社会,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00027,美国的国家机器,垄断资本实行阶级统治的工具,工具,机器,MC,医疗,SC,社会,2,具体→抽象,32,0.4936,,,,,,,0.1974,,0.1086,1
xb_00028,美帝国主义,革命文化的头号敌人,敌人,帝国主义,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00029,企业的各项规程制度,生产经验的结晶,结晶,制度,OB,物体,SC,社会,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00030,美帝国主义,侵略元凶,侵略,帝国主义,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00031,美帝国主义,威胁世界和平、阻挠人民解放斗争的国际反动派的元凶,元凶,帝国主义,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00032,上校,屠杀人民的刽子手,刽子手,上校,BD,建筑,SC,社会,1,具体→具体,221,0.7626,,,,,,,0.3051,,0.1678,1
xb_00033,第三条,革命道路,道路,第三,TR,交通,SC,社会,2,具体→抽象,41,0.5276,,,,,,,0.211,,0.1161,1
xb_00034,这些影片,革命战争的忏悔录,忏悔录,影片,OB,物体,EV,事件,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_00035,帝国主义和殖民主义,威胁世界和平和制造国际紧张局势的根源,根源,殖民主义,LV,生命,SC,社会,2,具体→抽象,263,0.7871,,,,,,,0.3148,,0.1732,1
xb_00036,忠孝节义,"麻醉人民的""精神毒药""",毒药,忠孝节义,HM,人体,TH,思维,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00037,工人阶级,革命队伍的先锋,先锋,阶级,WR,战争,SC,社会,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00038,世界和平,发展两国经济的和社会的资源,资源,和平,EC,经济,SC,社会,2,具体→抽象,129,0.6871,,,,,,,0.2748,,0.1512,1
xb_00039,帝国主义,威胁人类和平的世界战争根源,根源,帝国主义,LV,生命,SC,社会,2,具体→抽象,263,0.7871,,,,,,,0.3148,,0.1732,1
xb_00040,我们青年,革命事业的接班人,接班人,青年,HM,人体,SC,社会,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00041,美帝国主义,亚洲和世界人民的共同敌人,敌人,帝国主义,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00042,森林,"调节雨水的""能手""","手""",森林,BD,建筑,AB,抽象,1,具体→具体,221,0.7626,,,,,,,0.3051,,0.1678,1
xb_00043,干旱,庄稼的死对头,死对头,干旱,BD,建筑,AB,抽象,2,具体→抽象,221,0.7626,,,,,,,0.3051,,0.1678,1
xb_00044,辩证法,批判资本主义和同它斗争的武器,武器,辩证法,WR,战争,AB,抽象,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00045,封建法律,束缚农民群众的锁链,锁链,法律,OB,物体,SC,社会,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00046,青年,劳动主力军,主力军,青年,WR,战争,SC,社会,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00047,病虫害,威胁农业生产和畜牧业生产的大敌,大敌,病虫害,WR,战争,SC,社会,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00048,美帝国主义,侵略世界人民的元凶,元凶,帝国主义,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00049,毛主席著作,改造思想的锐利武器,武器,著作,WR,战争,TH,思维,1,具体→具体,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00050,柜台,革命岗位,岗位,柜台,WR,战争,AB,抽象,1,具体→具体,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00051,服务行业,革命行业,行业,行业,TR,交通,AB,抽象,3,抽象→抽象,41,0.5276,,,,,,,0.211,,0.1161,1
xb_00052,时代精神,革命精神,精神,精神,OB,物体,AB,抽象,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00053,水土保持,发展山区生产的生命线,生命线,水土,LV,生命,AB,抽象,2,具体→抽象,263,0.7871,,,,,,,0.3148,,0.1732,1
xb_00054,赵疃,革命武装斗争中全省闻名的英雄村庄之一,之一,赵疃,WR,战争,AB,抽象,1,具体→具体,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00055,贫农下中农,建设社会主义和共产主义事业在农村的社会基础,基础,农,OB,物体,SC,社会,4,抽象→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_00056,美帝国主义,侵略势力的头子,头子,帝国主义,BD,建筑,SC,社会,2,具体→抽象,221,0.7626,,,,,,,0.3051,,0.1678,1
xb_00057,材料供应部门,生产大军的后勤部,后勤部,部门,WR,战争,AB,抽象,1,具体→具体,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00058,连队,革命熔炉,熔炉,连队,MC,医疗,SC,社会,1,具体→具体,32,0.4936,,,,,,,0.1974,,0.1086,1
xb_00059,农村俱乐部,传播社会主义思想和文化的阵地,阵地,俱乐部,WR,战争,EM,情感,1,具体→具体,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00060,维尼纶,合成纤维的一个品种,品种,纶,OB,物体,AB,抽象,4,抽象→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_00061,美帝国主义,全世界人民最凶恶的敌人,敌人,帝国主义,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00062,毛泽东思想,革命人民和民族解放运动的灯塔,灯塔,思想,OB,物体,TH,思维,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00063,粮食,劳动人民的血汗,血汗,粮食,BD,建筑,AB,抽象,1,具体→具体,221,0.7626,,,,,,,0.3051,,0.1678,1
xb_00064,毛泽东思想,革命英雄的思想武库,武库,思想,WR,战争,TH,思维,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00065,人民战争,革命人民对付帝国主义及其走狗的法宝,法宝,战争,OB,物体,LF,光线,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00066,现在的江山,革命先辈拼命流血打下来的成果,成果,江山,SP,空间,SC,社会,4,抽象→具体,203,0.7507,,,,,,,0.3003,,0.1652,1
xb_00067,他们的意见,检验县委工作最准确的标尺,标尺,意见,OB,物体,AB,抽象,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00068,社会主义体系,革命力量的主要成果,成果,体系,OB,物体,SC,社会,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00069,三尺柜台,革命阵地,阵地,柜台,WR,战争,AB,抽象,1,具体→具体,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00070,毛泽东思想,指导人们从事科学实验的无比锐利的思想武器,武器,思想,WR,战争,TH,思维,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00071,美国强盗,泥足巨人,泥足巨人,美国,LV,生命,MR,机器,1,具体→具体,263,0.7871,,,,,,,0.3148,,0.1732,1
xb_00072,青年,生产第一线的主力,主力,青年,WR,战争,AB,抽象,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00073,美帝国主义,全世界人民的大仇人,大仇人,帝国主义,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00074,阶级观点,研究社会历史的基本方法,方法,观点,OB,物体,TM,时间,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00075,工厂,教育青少年的大课堂,课堂,工厂,OB,物体,EV,事件,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_00076,封建地主阶级的官僚,劳动人民的死对头,死对头,官僚,HM,人体,SC,社会,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00077,历史,劳动人民创造的,人民,历史,OB,物体,TM,时间,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00078,车间,生产第一线,生产,车间,WR,战争,EV,事件,1,具体→具体,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00079,共产党,劳动人民的再生母亲,母亲,共产党,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00080,毛主席著作,革命人民必读的教科书,教科书,著作,OB,物体,TH,思维,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_00081,毛泽东思想,革命人民战无不胜的强大武器,武器,思想,WR,战争,TH,思维,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00082,毛泽东思想,革命人民的法宝,法宝,思想,OB,物体,TH,思维,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00083,解放军,播种队,播种队,解放军,HM,人体,AB,抽象,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00084,毛主席思想,革命人民心里的红太阳,太阳,思想,NT,自然,TH,思维,2,具体→抽象,184,0.7369,,,,,,,0.2948,,0.1621,1
xb_00085,毛泽东思想,革命哲学的精华,精华,思想,FD,食物,TH,思维,3,抽象→抽象,46,0.5435,,,,,,,0.2174,,0.1196,1
xb_00086,毛泽东思想,照亮世界革命道路的指路明灯,指路,思想,OB,物体,TH,思维,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00087,这件事,教育职工的活教材,教材,事,OB,物体,LF,光线,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00088,毛泽东思想,革命力量的无限源泉,源泉,思想,NT,自然,TH,思维,2,具体→抽象,184,0.7369,,,,,,,0.2948,,0.1621,1
xb_00089,毛主席著作,革命战士的粮食,战士,著作,FD,食物,AB,抽象,1,具体→具体,46,0.5435,,,,,,,0.2174,,0.1196,1
xb_00090,毛泽东思想,攀登科学高峰的金桥,金桥,思想,OB,物体,TH,思维,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00091,毛主席的话,劳动人民的心里话,心里话,主席,SP,空间,CM,通讯,3,抽象→抽象,203,0.7507,,,,,,,0.3003,,0.1652,1
xb_00092,毛泽东思想,革命人民的命根子,命根子,思想,LV,生命,TH,思维,2,具体→抽象,263,0.7871,,,,,,,0.3148,,0.1732,1
xb_00093,美国政府,垄断资产阶级的代表,代表,政府,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00094,解放军,最好的毛泽东思想大学校,校,解放军,MC,医疗,AB,抽象,1,具体→具体,32,0.4936,,,,,,,0.1974,,0.1086,1
xb_00095,毛泽东思想,改造人们灵魂的锐利武器,武器,思想,WR,战争,TH,思维,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00096,毛主席的书,革命的无价之宝,无价之宝,书,OB,物体,AB,抽象,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_00097,枪,革命战士的第二条生命,生命,枪,LV,生命,OB,物体,4,抽象→具体,263,0.7871,,,,,,,0.3148,,0.1732,1
xb_00098,农民,革命活力的一个无穷无尽的泉源,泉源,农民,NT,自然,SC,社会,2,具体→抽象,184,0.7369,,,,,,,0.2948,,0.1621,1
xb_00099,毛主席著作,革命思想的最大源泉,源泉,著作,NT,自然,AB,抽象,2,具体→抽象,184,0.7369,,,,,,,0.2948,,0.1621,1
xb_00100,人民解放军,革命小将的最坚强的后盾,后盾,解放军,FC,力量,SC,社会,2,具体→抽象,84,0.6271,,,,,,,0.2508,,0.138,1
xb_00101,奴隶主义,剥削制度的产物,产物,奴隶主义,OB,物体,TH,思维,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00102,毛泽东思想,我们的命根子,命根子,思想,LV,生命,TH,思维,2,具体→抽象,263,0.7871,,,,,,,0.3148,,0.1732,1
xb_00103,毛主席著作,革命人民的无价之宝,人民,著作,OB,物体,AB,抽象,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_00104,剥削制度,劳动人民苦难的根源,苦难,制度,LV,生命,SC,社会,2,具体→抽象,263,0.7871,,,,,,,0.3148,,0.1732,1
xb_00105,毛泽东思想,革命人民的灵魂,灵魂,思想,BD,建筑,TH,思维,3,抽象→抽象,221,0.7626,,,,,,,0.3051,,0.1678,1
xb_00106,毛泽东军事思想,革命人民争取解放的灯塔,灯塔,思想,OB,物体,TH,思维,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00107,革命的大批判,活学活用毛主席著作最好的课堂,课堂,判,OB,物体,SC,社会,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00108,工农兵,革命大批判的主力军,主力军,工农兵,WR,战争,SC,社会,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00109,毛泽东思想,劳动人民革命的火车头,火车头,思想,BD,建筑,TH,思维,2,具体→抽象,221,0.7626,,,,,,,0.3051,,0.1678,1
xb_00110,毛泽东思想,革命力量的源泉,源泉,思想,NT,自然,TH,思维,2,具体→抽象,184,0.7369,,,,,,,0.2948,,0.1621,1
xb_00111,毛泽东思想,革命人民威力最大最可靠的思想武器,武器,思想,WR,战争,TH,思维,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00112,无产阶级专政,劳动人民的命根子,命根子,专政,LV,生命,SC,社会,2,具体→抽象,263,0.7871,,,,,,,0.3148,,0.1732,1
xb_00113,毛主席的话,革命理论的精华,精华,主席,FD,食物,CM,通讯,3,抽象→抽象,46,0.5435,,,,,,,0.2174,,0.1196,1
xb_00114,毛主席的著作,革命人民的宝书,宝书,著作,OB,物体,AB,抽象,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_00115,派性,革命队伍中的分裂主义者,分裂主义者,派性,HM,人体,AB,抽象,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00116,学习毛主席著作,革命战士生活的第一需要,需要,著作,OB,物体,TH,思维,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00117,毛主席的书,革命人民的精神食粮,食粮,书,FD,食物,AB,抽象,2,具体→抽象,46,0.5435,,,,,,,0.2174,,0.1196,1
xb_00118,毛主席著作,革命人民最好的教科书,教科书,著作,OB,物体,TH,思维,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_00119,用毛泽东思想武装起来的人民群众,最坚固的铜墙铁壁,铜墙铁壁,群众,OB,物体,SC,社会,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_00120,毛泽东思想,革命人民的灵魂,灵魂,思想,BD,建筑,TH,思维,3,抽象→抽象,221,0.7626,,,,,,,0.3051,,0.1678,1
xb_00121,毛泽东思想,革命人民的命根子,命根子,思想,LV,生命,TH,思维,2,具体→抽象,263,0.7871,,,,,,,0.3148,,0.1732,1
xb_00122,人民群众,革命政权力量的源泉,源泉,群众,NT,自然,LF,光线,2,具体→抽象,184,0.7369,,,,,,,0.2948,,0.1621,1
xb_00123,家家,革命大批判的战场,战场,家家,WR,战争,SC,社会,1,具体→具体,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00124,人人,革命大批判的战士,战士,人人,WR,战争,LF,光线,1,具体→具体,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00125,工人阶级,革命主力军,主力军,阶级,WR,战争,SC,社会,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00126,大地主大资产阶级,劳动人民的死敌,死敌,资产阶级,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00127,革命路线,无产阶级和革命人民的生命线,生命线,路线,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00128,议会道路,一条走不通的死路,死路,道路,TR,交通,SC,社会,2,具体→抽象,41,0.5276,,,,,,,0.211,,0.1161,1
xb_00129,宗教,麻醉人民的鸦片,鸦片,宗教,HM,人体,AB,抽象,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00130,战无不胜的毛泽东思想,改造人们灵魂的强大武器,武器,思想,WR,战争,TH,思维,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00131,广阔农村,改造思想的好课堂,课堂,农村,OB,物体,AB,抽象,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_00132,人民军队,革命人民的铁拳头,铁拳头,军队,BD,建筑,SC,社会,1,具体→具体,221,0.7626,,,,,,,0.3051,,0.1678,1
xb_00133,美帝国主义,侵略强盗,侵略,帝国主义,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00134,资本主义利润,资本家发财致富的泉源,泉源,利润,NT,自然,MR,机器,2,具体→抽象,184,0.7369,,,,,,,0.2948,,0.1621,1
xb_00135,贫下中农登上讲台,教学领域的一场革命,革命,农登,HM,人体,EV,事件,3,抽象→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00136,毛主席的书,革命战士的方向盘,方向盘,书,MC,医疗,AB,抽象,2,具体→抽象,32,0.4936,,,,,,,0.1974,,0.1086,1
xb_00137,关于'纸老虎'的理论,革命勇气和决心的源泉,源泉,理论,NT,自然,TH,思维,2,具体→抽象,184,0.7369,,,,,,,0.2948,,0.1621,1
xb_00138,毛泽东思想,革命的法宝,法宝,思想,OB,物体,TH,思维,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00139,群众的意见,检查领导工作的一面镜子,镜子,意见,NT,自然,TM,时间,2,具体→抽象,184,0.7369,,,,,,,0.2948,,0.1621,1
xb_00140,工人,发展科学技术的主力军,主力军,工人,WR,战争,LF,光线,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00141,干校,改造世界观的革命熔炉,熔炉,干校,MC,医疗,SC,社会,1,具体→具体,32,0.4936,,,,,,,0.1974,,0.1086,1
xb_00142,毛泽东思想,革命战士的命根子,命根子,思想,LV,生命,TH,思维,2,具体→抽象,263,0.7871,,,,,,,0.3148,,0.1732,1
xb_00143,毛主席的革命路线,劳动人民的生命线,生命线,路线,HM,人体,SC,社会,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00144,"""五·七""农民学校",批判资产阶级的战场,战场,学校,WR,战争,SC,社会,1,具体→具体,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00145,毛泽东思想,改造世界观的最锐利的武器,武器,思想,WR,战争,TH,思维,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00146,"""三舒心""思想","改造世界观的""拦路虎""","虎""",思想,TR,交通,TH,思维,2,具体→抽象,41,0.5276,,,,,,,0.211,,0.1161,1
xb_00147,毛泽东思想,革命航道的明灯,航道,思想,OB,物体,TH,思维,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00148,毛主席的书,劳动人民的命根子,命根子,书,LV,生命,AB,抽象,2,具体→抽象,263,0.7871,,,,,,,0.3148,,0.1732,1
xb_00149,毛泽东思想,革命战士力量的源泉,源泉,思想,NT,自然,TH,思维,2,具体→抽象,184,0.7369,,,,,,,0.2948,,0.1621,1
xb_00150,人民群众,教育革命的主力军,主力军,群众,WR,战争,LF,光线,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00151,多种经营,生产领域中社会主义和资本主义两条道路斗争的重要阵地,阵地,经营,WR,战争,EV,事件,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00152,杂草,危害农作物的大敌,大敌,杂草,HM,人体,AB,抽象,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00153,教学领域,两条路线斗争的重要阵地,阵地,领域,WR,战争,AB,抽象,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00154,党的报刊,宣传毛泽东思想的重要工具,工具,报刊,OB,物体,AB,抽象,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_00155,革命青年,无产阶级革命事业的接班人,接班人,青年,HM,人体,AB,抽象,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00156,灵魂,地主资产阶级,资产阶级,灵魂,HM,人体,AB,抽象,3,抽象→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00157,毛主席的无产阶级革命路线,我们建设社会主义新农村的根本保证,保证,路线,OB,物体,SC,社会,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00158,妇女干部,各条战线上的骨干力量,力量,干部,BD,建筑,LF,光线,2,具体→抽象,221,0.7626,,,,,,,0.3051,,0.1678,1
xb_00159,原料,"工业生产的""粮食""","食""",原料,FD,食物,EV,事件,1,具体→具体,46,0.5435,,,,,,,0.2174,,0.1196,1
xb_00160,党的领导,革命事业胜利的保证,保证,领导,OB,物体,SC,社会,3,抽象→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00161,新干部,革命队伍的新鲜血液,血液,干部,BD,建筑,LF,光线,2,具体→抽象,221,0.7626,,,,,,,0.3051,,0.1678,1
xb_00162,钻井工人,开发油田的尖兵,尖兵,工人,OB,物体,LF,光线,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_00163,马克思主义哲学,指导科学发展的明灯,发展,哲学,NT,自然,TH,思维,2,具体→抽象,184,0.7369,,,,,,,0.2948,,0.1621,1
xb_00164,疫病,发展牲畜的大敌,大敌,疫病,HM,人体,MR,机器,1,具体→具体,1099,0.9885,,,,,,,0.3954,,0.2175,2
xb_00165,党的基本路线,劳动人民的生命线,生命线,路线,LV,生命,SC,社会,2,具体→抽象,263,0.7871,,,,,,,0.3148,,0.1732,1
xb_00166,曲艺,革命文艺的轻武器,轻武器,曲艺,WR,战争,EV,事件,2,具体→抽象,198,0.7472,,,,,,,0.2989,,0.1644,1
xb_00167,人民,改造社会、改造自然的最伟大的动力,动力,人民,FC,力量,LF,光线,2,具体→抽象,84,0.6271,,,,,,,0.2508,,0.138,1
xb_00168,它,压迫的工具,工具,它,OB,物体,SC,社会,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00169,贫农大众,革命先锋,先锋,大众,OB,物体,SC,社会,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00170,科学技术,生产斗争知识的结晶,知识,技术,OB,物体,TH,思维,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00171,爱国卫生运动中的群众积极分子队伍,移风易俗的重要突击队,突击队,队伍,OB,物体,SC,社会,1,具体→具体,1192,1.0,,,,,,,0.4,,0.22,2
xb_00172,毛主席的革命路线,灯塔,灯塔,路线,OB,物体,SC,社会,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00173,旧社会,劳动人民的地狱,地狱,社会,SP,空间,SC,社会,2,具体→抽象,203,0.7507,,,,,,,0.3003,,0.1652,1
xb_00174,共产党,劳动人民的救星,救星,共产党,NT,自然,SC,社会,2,具体→抽象,184,0.7369,,,,,,,0.2948,,0.1621,1
xb_00175,贫下中农理论队伍,无产阶级理论队伍的主力,主力,队伍,OB,物体,TH,思维,2,具体→抽象,1192,1.0,,,,,,,0.4,,0.22,2
xb_00176,革命的创造精神,革命艺术的生命,生命,精神,LV,生命,AB,抽象,2,具体→抽象,263,0.7871,,,,,,,0.3148,,0.1732,1
xb_00177,风雪灾害,发展畜牧业的大敌,大敌,灾害,HM,人体,AB,抽象,2,具体→抽象,1099,0.9885,,,,,,,0.3954,,0.2175,2
